Sr No,Item No,Unit,Pack Size,Description,Brand,Unit Price Per Case,Unit Price Per Packsize Unit,Category,Max Quantity,Market Price,Market Price Unit
195,6726483,CS,5/2 LB,"SHRIMP, RAW 71-90 WHITE PEELED-&-DEVEINED TAIL-OFF IQF FROZEN IMPORTED ASIA",HARBOR BANKS,52.79,,,,,
196,7846189,CS,32 LB,"SOUR CREAM, CULTURED PAIL REF",MEADOW GOLD,36.2,,,,,
197,61101,CS,6/2.5 LB,"SOYBEAN, EDAMAME SHELLED IMPORTED CHINA IQF FROZEN",MONARCH,32.09,,,,,
198,3329323,CS,3/1000 EA,"SPICE, PEPPER BLACK .1 GR SS 2 FLUTE",MONARCH,15.54,,,,,
199,4425690,CS,4 LB,"SPINACH, BABY FLAT LEAF PILLOW PACK FRESH REF",CROSS VALLEY FARMS,16.41,,,,,
200,7899602,CS,12/3 LB,"SPINACH, CHOPPED GRADE A DOMESTIC FROZEN PILLOW PACK",MONARCH,43.49,,,,,
201,1205582,CS,8/1 LB,"STRAWBERRY, CLAMSHELL FRESH REF",PACKER,39.3,,,,,
202,3136199,CS,2000/1 GR,"SUGAR SUB, PINK SWEET & LOW 1 GR SS PACKET SACCHARIN",SWEET' N LOW SWEETENER,18.24,,,,,
203,8423121,CS,2000 EA,"SUGAR SUB, YELLOW SPLENDA 1 GR SS PACKET SUCRALOSE",SPLENDA,31.44,,,,,
204,60236,CS,12/2 LB,"SUGAR, BROWN LIGHT CRYSTAL BEET",WHITE SATIN,17.32,,,,,
205,2939791,CS,1200 EA,"SUGAR, RAW .16 OZ SS PACKET",US FOODS LOGO,26.12,,,,,
206,9327263,CS,2000 EA,"SUGAR, WHITE 1/10 OZ SS PACKET",US FOODS LOGO,15.89,,,,,
207,59642,CS,25 LB,"SUGAR, WHITE GRANULATED BEET",WHITE SATIN,15.26,,,,,
208,4539154,CS,10 LB,"SUNFLOWER SEED, SALTED ROASTED KERNEL SHELL OFF BULK NUT",AGWAY,16.06,,,,,
209,183020,CS,8/25 EA,"TEA BAG, HOT ASSORTED CAFFEINATED & DECAFFEINATED ENVELOPE",RITUALS,19.59,,,,,
210,184937,CS,32/4 OZ,"TEA BAG, ICED BLACK ORANGE PEKOE FILTER-POUCH 4 GAL YIELD CAFFEINATED",RITUALS,33.33,,,,,
211,9372855,CS,20 LB,"TOMATO, 5X6 #1 GRADE ROUND 2 LAYER FRESH REF",CROSS VALLEY FARMS,38.19,,,,,
212,7305139,CS,6/#10 CN,"TOMATO, CHOPPED IN PUREE PEELED CANNED",EL VERANO SABROSO,24.77,,,,,
213,8328486,CS,6/#10 CN,"TOMATO, CRUSHED EXTRA-HEAVY CONCENTRATED CANNED",MONARCH-D,28.09,,,,,
214,4465076,CS,20 LB,"TOMATO, GRAPE BULK FRESH REF",PACKER,56.18,,,,,
215,7330301,CS,6/#10 CN,"TOMATO, WHOLE PEAR IN JUICE PEELED CANNED CALIFORNIA ROMA",ROSELI,27.87,,,,,
216,7027592,CS,24/800 EA,"TOOTHPICK, WOOD ROUND",ROYAL PAPER,18.91,,,,,
217,9268830,CS,12/19.50 OZ,"TOPPING, CARAMEL SAUCE LIQUID SQUEEZE BOTTLE PLATESCAPERS SHELF STABLE DESS",PLATESCAPERS,27.88,,,,,
218,7000912,CS,24/24 OZ,"TOPPING, CHOCOLATE LIQUID BOTTLE SHELF STABLE SYRUP",HERSHEY,52.8,,,,,
219,843771,CS,12/15 OZ,"TOPPING, WHIPPED NON-DAIRY ULTRA PASTEURIZED AEROSOL REF",GLENVIEW FARMS,27.66,,,,,
220,4730931,CS,12/60 EA,"TORTILLA, CORN YELLOW 6"" DIE CUT FROZEN",FRESCA MEXICAN,30.53,,,,,
221,6227670,CS,12/12 EA,"TORTILLA, FLOUR 12"" PRESSED SHELF STABLE",DEL PASADO,37.02,,,,,
222,6879399,CS,2/8-9 LBA,"TURKEY, BREAST WHOLE PAN SKINLESS COOKED OVEN ROASTED OIL BROWNED REF UNSLI",PATUXENT FARMS,4.26,,,,,
223,8328965,CS,4/1 GA,"VINEGAR, APPLE CIDER 4% ALCOHOL DOMESTIC PLASTIC JUG",HARVEST VALUE,22.76,,,,,
224,294827,CS,2/5 LT,"VINEGAR, BALSAMIC IMPORTED ITALY",HARVEST VALUE,31.24,,,,,
225,1328335,CS,4/1 GA,"VINEGAR, DISTILLED WHITE DOMESTIC 50 GRAIN PLASTIC JUG",MONARCH,16.77,,,,,
226,7003742,CS,12/12 OZ,"VINEGAR, MALT DOMESTIC GLASS BOTTLE",HEINZ,25.98,,,,,
227,7064710,CS,4/128 OZ,"VINEGAR, RICE SEASONED DOMESTIC PLASTIC JUG 4%",NAKANO,41.41,,,,,
228,9328337,CS,4/1 GA,"VINEGAR, WINE RED 50 GRAIN",MONARCH,26.62,,,,,
229,8885485,CS,3/2 LB,"WALNUT, HALF & PIECE RAW SHELL OFF BAG SUSTAINABLE PACKAGING NUT",MONARCH,76.01,,,,,
230,4486494,CS,3/2 LB,"WALNUT, PIECE MEDIUM SALTED CANDIED FROSTED SHELL OFF POUCH NUT",FISHER,46.4,,,,,
231,3022647,CS,20/1 LB,"YEAST, DRY ACTIVE",RED STAR,53.97,,,,,
232,7038532,CS,6/32 OZ,"YOGURT, STRAWBERRY BLENDED LOW FAT RBST FREE TUB REF",YOPLAIT,15.45,,,,,
233,3013471,CS,24 LB,"ZUCCHINI, GREEN SMALL FRESH REF SQUASH",PACKER,18.87,,,,,
234,3572856,CS,.5 Bu,"Squash, Yellow Small Box Fresh Ref",Packer,0,,,,,
235,6273082,CS,2/1 Ga,"Milk, 2% Reduced Fat Plastic Jug Ref",Glenview Farms,0,,,,,
236,5028399,CS,2/4 Lb,"Tomato, Red Vine Ripe Wedge Roasted Pail Frozen",Rykoff Sexton,42.19,,,,,
237,4960449,CS,120/1 Oz,"Potsticker, Pork Vegetable 1 Oz Raw Frozen Appetizer",Pacific Jade,45,,,,,
238,5881594,CS,4/128 Oz,"Cherry, Maraschino W/ Stem Large Plastic",Harvest Value,0,,,,,
